time	V(EletrodoA,EletrodoB)	V(inamp)
0.000000000000000e+000	0.000000e+000	2.145517e-003
1.170285681187774e-006	9.412030e-007	2.171423e-003
2.340571362375549e-006	1.882401e-006	2.209847e-003
3.510857043563323e-006	2.823595e-006	2.260789e-003
4.681142724751098e-006	3.764784e-006	2.324249e-003
5.851428405938872e-006	4.705968e-006	2.400226e-003
7.021714087126647e-006	5.647147e-006	2.488721e-003
8.191999768314418e-006	6.588321e-006	2.589734e-003
4.066115484892704e-005	3.276161e-005	5.201228e-003
7.313030992953966e-005	5.883090e-005	7.804326e-003
1.055994650101523e-004	8.479618e-005	1.039903e-002
1.380686200907649e-004	1.106575e-004	1.298534e-002
1.705377751713775e-004	1.364147e-004	1.556325e-002
2.030069302519902e-004	1.620680e-004	1.813277e-002
2.354760853326027e-004	1.876173e-004	2.069389e-002
3.097617996183172e-004	2.458596e-004	2.652557e-002
3.840475139040317e-004	3.019841e-004	3.214619e-002
4.583332281897462e-004	3.559909e-004	3.755573e-002
5.326189424754606e-004	4.078798e-004	4.275420e-002
6.069046567611752e-004	4.576510e-004	4.774160e-002
6.811903710468896e-004	5.053043e-004	5.251793e-002
7.554760853326040e-004	5.508398e-004	5.708318e-002
8.797617996183187e-004	6.204515e-004	6.406631e-002
1.004047513904033e-003	6.786478e-004	6.990878e-002
1.128333228189748e-003	7.254286e-004	7.461059e-002
1.252618942475463e-003	7.607940e-004	7.817176e-002
1.376904656761177e-003	7.847439e-004	8.059227e-002
1.501190371046892e-003	7.972783e-004	8.187212e-002
1.625476085332606e-003	7.983973e-004	8.201133e-002
1.741190371046892e-003	7.858628e-004	8.078281e-002
1.856904656761178e-003	7.638301e-004	7.860303e-002
1.972618942475465e-003	7.322991e-004	7.547198e-002
2.088333228189751e-003	6.912698e-004	7.138968e-002
2.204047513904037e-003	6.407423e-004	6.635611e-002
2.319761799618323e-003	5.807164e-004	6.037129e-002
2.435476085332608e-003	5.111923e-004	5.343520e-002
2.505476085332609e-003	4.660419e-004	4.892859e-002
2.575476085332609e-003	4.191893e-004	4.425079e-002
2.645476085332609e-003	3.706345e-004	3.940181e-002
2.715476085332609e-003	3.203774e-004	3.438164e-002
2.785476085332609e-003	2.684181e-004	2.919028e-002
2.855476085332610e-003	2.147565e-004	2.382774e-002
2.925476085332610e-003	1.593928e-004	1.829401e-002
2.962618942475467e-003	1.299117e-004	1.534686e-002
2.999761799618324e-003	1.003529e-004	1.239163e-002
3.036904656761182e-003	7.071631e-005	9.428333e-003
3.074047513904039e-003	4.100194e-005	6.456964e-003
3.111190371046896e-003	1.120980e-005	3.477524e-003
3.148333228189753e-003	-1.866011e-005	4.900137e-004
3.185476085332610e-003	-4.860779e-005	-2.505568e-003
3.235476085332611e-003	-8.891529e-005	-6.537892e-003
3.285476085332611e-003	-1.287501e-004	-1.052346e-002
3.335476085332611e-003	-1.681123e-004	-1.446227e-002
3.385476085332611e-003	-2.070019e-004	-1.835433e-002
3.435476085332611e-003	-2.454188e-004	-2.219963e-002
3.485476085332611e-003	-2.833631e-004	-2.599818e-002
3.535476085332611e-003	-3.208347e-004	-2.974997e-002
3.619761799618325e-003	-3.826532e-004	-3.594086e-002
3.704047513904038e-003	-4.407623e-004	-4.176190e-002
3.788333228189751e-003	-4.951620e-004	-4.721308e-002
3.872618942475464e-003	-5.458524e-004	-5.229441e-002
3.956904656761177e-003	-5.928335e-004	-5.700587e-002
4.041190371046890e-003	-6.361051e-004	-6.134749e-002
4.125476085332603e-003	-6.756674e-004	-6.531924e-002
4.305476085332596e-003	-7.418807e-004	-7.197858e-002
4.485476085332589e-003	-7.829438e-004	-7.612204e-002
4.665476085332581e-003	-7.988567e-004	-7.774961e-002
4.845476085332574e-003	-7.896194e-004	-7.686130e-002
5.025476085332567e-003	-7.552318e-004	-7.345711e-002
5.205476085332559e-003	-6.956940e-004	-6.753703e-002
5.385476085332552e-003	-6.110060e-004	-5.910107e-002
5.462618942475406e-003	-5.684127e-004	-5.485327e-002
5.539761799618260e-003	-5.231308e-004	-5.033552e-002
5.616904656761114e-003	-4.751603e-004	-4.554782e-002
5.694047513903968e-003	-4.245012e-004	-4.049018e-002
5.771190371046822e-003	-3.711535e-004	-3.516260e-002
5.848333228189676e-003	-3.151172e-004	-2.956507e-002
5.925476085332530e-003	-2.563922e-004	-2.369759e-002
5.968333228189671e-003	-2.233581e-004	-2.039638e-002
6.011190371046812e-003	-1.900652e-004	-1.706891e-002
6.054047513903953e-003	-1.565137e-004	-1.371518e-002
6.096904656761095e-003	-1.227036e-004	-1.033520e-002
6.139761799618236e-003	-8.863483e-005	-6.928967e-003
6.182618942475376e-003	-5.430739e-005	-3.496479e-003
6.225476085332518e-003	-1.972131e-005	-3.773636e-005
6.255476085332517e-003	4.404108e-006	2.375134e-003
